Row ID,Order ID,Order Date,Ship Date,Shipping Period,Date Valididty ,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit Margin,Price Per Unit,Profit Per Unit,Location,Product Category,Dates In Month
1,CA-2013-152156,09-11-2013,12-11-2013,91.00,Valid Date,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,$261.96,2,0.00%,$41.91,16.00%,$130.98,$20.96,South Kentucky,Bookcases - (Furniture),09-01-13
2,CA-2013-152156,09-11-2013,12-11-2013,91.00,Valid Date,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",$731.94,3,0.00%,$219.58,30.00%,$243.98,$73.19,South Kentucky,Chairs - (Furniture),09-01-13
3,CA-2013-138688,06-13-2013,06-17-2013,4.00,Valid Date,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,$14.62,2,0.00%,$6.87,47.00%,$7.31,$3.44,West California,Labels - (Office Supplies),06-01-13
4,US-2012-108966,11-10-2012,10-18-2012,-23.00,Invalid Date,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,$957.58,5,45.00%,-$383.03,-40.00%,$191.52,-$76.61,South Florida,Tables - (Furniture),11-01-12
5,US-2012-108966,11-10-2012,10-18-2012,-23.00,Invalid Date,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,$22.37,2,20.00%,$2.52,11.25%,$11.18,$1.26,South Florida,Storage - (Office Supplies),11-01-12
6,CA-2011-115812,09-06-2011,06-14-2011,-84.00,Invalid Date,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",$48.86,7,0.00%,$14.17,29.00%,$6.98,$2.02,West California,Furnishings - (Furniture),09-01-11
7,CA-2011-115812,09-06-2011,06-14-2011,-84.00,Invalid Date,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,$7.28,4,0.00%,$1.97,27.00%,$1.82,$0.49,West California,Art - (Office Supplies),09-01-11
8,CA-2011-115812,09-06-2011,06-14-2011,-84.00,Invalid Date,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,$907.15,6,20.00%,$90.72,10.00%,$151.19,$15.12,West California,Phones - (Technology),09-01-11
9,CA-2011-115812,09-06-2011,06-14-2011,-84.00,Invalid Date,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,$18.50,3,20.00%,$5.78,31.25%,$6.17,$1.93,West California,Binders - (Office Supplies),09-01-11
10,CA-2011-115812,09-06-2011,06-14-2011,-84.00,Invalid Date,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,$114.90,5,0.00%,$34.47,30.00%,$22.98,$6.89,West California,Appliances - (Office Supplies),09-01-11
11,CA-2011-115812,09-06-2011,06-14-2011,-84.00,Invalid Date,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,"$1,706.18",9,20.00%,$85.31,5.00%,$189.58,$9.48,West California,Tables - (Furniture),09-01-11
12,CA-2011-115812,09-06-2011,06-14-2011,-84.00,Invalid Date,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,$911.42,4,20.00%,$68.36,7.50%,$227.86,$17.09,West California,Phones - (Technology),09-01-11
13,CA-2014-114412,04-16-2014,04-21-2014,5.00,Valid Date,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,$15.55,3,20.00%,$5.44,35.00%,$5.18,$1.81,South North Carolina,Paper - (Office Supplies),04-01-14
14,CA-2013-161389,06-12-2013,11-12-2013,153.00,Valid Date,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,$407.98,3,20.00%,$132.59,32.50%,$135.99,$44.20,West Washington,Binders - (Office Supplies),06-01-13
15,US-2012-118983,11-22-2012,11-26-2012,4.00,Valid Date,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",$68.81,5,80.00%,-$123.86,-180.00%,$13.76,-$24.77,Central Texas,Appliances - (Office Supplies),11-01-12
16,US-2012-118983,11-22-2012,11-26-2012,4.00,Valid Date,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,$2.54,3,80.00%,-$3.82,-150.00%,$0.85,-$1.27,Central Texas,Binders - (Office Supplies),11-01-12
17,CA-2011-105893,11-11-2011,11-18-2011,7.00,Valid Date,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",$665.88,6,0.00%,$13.32,2.00%,$110.98,$2.22,Central Wisconsin,Storage - (Office Supplies),11-01-11
18,CA-2011-167164,05-13-2011,05-15-2011,2.00,Valid Date,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,$55.50,2,0.00%,$9.99,18.00%,$27.75,$5.00,West Utah,Storage - (Office Supplies),05-01-11
19,CA-2011-143336,08-27-2011,01-09-2011,-230.00,Invalid Date,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,$8.56,2,0.00%,$2.48,29.00%,$4.28,$1.24,West California,Art - (Office Supplies),08-01-11
20,CA-2011-143336,08-27-2011,01-09-2011,-230.00,Invalid Date,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,$213.48,3,20.00%,$16.01,7.50%,$71.16,$5.34,West California,Phones - (Technology),08-01-11
21,CA-2011-143336,08-27-2011,01-09-2011,-230.00,Invalid Date,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",$22.72,4,20.00%,$7.38,32.50%,$5.68,$1.85,West California,Binders - (Office Supplies),08-01-11
22,CA-2013-137330,10-12-2013,12-14-2013,63.00,Valid Date,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,$19.46,7,0.00%,$5.06,26.00%,$2.78,$0.72,Central Nebraska,Art - (Office Supplies),10-01-13
23,CA-2013-137330,10-12-2013,12-14-2013,63.00,Valid Date,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",$60.34,7,0.00%,$15.69,26.00%,$8.62,$2.24,Central Nebraska,Appliances - (Office Supplies),10-01-13
24,US-2014-156909,07-17-2014,07-19-2014,2.00,Valid Date,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",$71.37,2,30.00%,-$1.02,-1.43%,$35.69,-$0.51,East Pennsylvania,Chairs - (Furniture),07-01-14
25,CA-2012-106320,09-25-2012,09-30-2012,5.00,Valid Date,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,"$1,044.63",3,0.00%,$240.26,23.00%,$348.21,$80.09,West Utah,Tables - (Furniture),09-01-12
26,CA-2013-121755,01-16-2013,01-20-2013,4.00,Valid Date,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,$11.65,2,20.00%,$4.22,36.25%,$5.82,$2.11,West California,Binders - (Office Supplies),01-01-13
27,CA-2013-121755,01-16-2013,01-20-2013,4.00,Valid Date,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,$90.57,3,0.00%,$11.77,13.00%,$30.19,$3.92,West California,Accessories - (Technology),01-01-13
28,US-2012-150630,09-17-2012,09-21-2012,4.00,Valid Date,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","$3,083.43",7,50.00%,"-$1,665.05",-54.00%,$440.49,-$237.86,East Pennsylvania,Bookcases - (Furniture),09-01-12
29,US-2012-150630,09-17-2012,09-21-2012,4.00,Valid Date,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,$9.62,2,70.00%,-$7.05,-73.33%,$4.81,-$3.53,East Pennsylvania,Binders - (Office Supplies),09-01-12
