Row ID,Order ID,Order Date,Ship Date,Shipping Period,Date Valididty,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit Margin,Price Per Unit,Profit Per Unit,Location,Product Category
3984,CA-2013-135265,08-07-2013,10-07-2013,61,Valid Date,Second Class,CC-12370,Christopher Conant,Consumer,United States,Los Angeles,California,90045,West,TEC-CO-10003763,Technology,Copiers,Canon PC1060 Personal Laser Copier,"$2,799.96",5,20.00%,$944.99,33.75%,$559.99,$189.00,West California,Copiers - (Technology)
9930,CA-2013-129630,05-09-2013,05-09-2013,0,Valid Date,Same Day,IM-15055,Ionia McGrath,Consumer,United States,San Francisco,California,94122,West,TEC-CO-10003763,Technology,Copiers,Canon PC1060 Personal Laser Copier,"$2,799.96",5,20.00%,$944.99,33.75%,$559.99,$189.00,West California,Copiers - (Technology)
6210,CA-2014-119809,8-19-2014,8-26-2014,7,Valid Date,Standard Class,YS-21880,Yana Sorensen,Corporate,United States,Seattle,Washington,98103,West,OFF-BI-10003925,Office Supplies,Binders,Fellowes PB300 Plastic Comb Binding Machine,"$2,793.53",9,20.00%,$942.82,33.75%,$310.39,$104.76,West Washington,Binders - (Office Supplies)
7584,CA-2011-163223,03-21-2011,03-25-2011,4,Valid Date,Standard Class,KH-16690,Kristen Hastings,Corporate,United States,Springfield,Virginia,22153,South,TEC-PH-10000730,Technology,Phones,Samsung Galaxy S4 Active,"$3,499.93",7,0.00%,$909.98,26.00%,$499.99,$130.00,South Virginia,Phones - (Technology)
6528,CA-2013-157791,12-24-2013,12-29-2013,5,Valid Date,Second Class,CA-11965,Carol Adams,Corporate,United States,Warwick,Rhode Island,2886,East,TEC-CO-10002095,Technology,Copiers,Hewlett Packard 610 Color Digital Copier / Printer,"$1,999.96",4,0.00%,$899.98,45.00%,$499.99,$225.00,East Rhode Island,Copiers - (Technology)
5991,US-2014-163300,09-16-2014,09-22-2014,6,Valid Date,Standard Class,ES-14020,Erica Smith,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10004390,Office Supplies,Binders,GBC DocuBind 200 Manual Binding Machine,"$2,357.49",7,20.00%,$884.06,37.50%,$336.78,$126.29,West California,Binders - (Office Supplies)
3056,US-2012-100377,8-28-2012,1-9-2012,-232,Invalid Date,Standard Class,TS-21370,Todd Sumrall,Corporate,United States,Chicago,Illinois,60623,Central,TEC-CO-10001046,Technology,Copiers,Canon Imageclass D680 Copier / Fax,"$2,799.96",5,20.00%,$874.99,31.25%,$559.99,$175.00,Central Illinois,Copiers - (Technology)
1897,CA-2014-141789,04-10-2014,07-10-2014,91,Valid Date,First Class,AC-10450,Amy Cox,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,"$1,793.98",2,0.00%,$843.17,47.00%,$896.99,$421.59,Central Minnesota,Binders - (Office Supplies)
4861,CA-2013-101546,12-19-2013,12-25-2013,6,Valid Date,Standard Class,GK-14620,Grace Kelly,Corporate,United States,Morristown,New Jersey,7960,East,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,"$1,793.98",2,0.00%,$843.17,47.00%,$896.99,$421.59,East New Jersey,Binders - (Office Supplies)
9034,CA-2011-152268,2-9-2011,07-09-2011,150,Valid Date,Standard Class,SC-20095,Sanjit Chand,Consumer,United States,Fayetteville,Arkansas,72701,South,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,"$1,793.98",2,0.00%,$843.17,47.00%,$896.99,$421.59,South Arkansas,Binders - (Office Supplies)
