Row ID,Order ID,Order Date,Ship Date,Shipping Period,Date Valididty,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit Margin,Price Per Unit,Profit Per Unit,Location,Product Category
3229,CA-2011-108189,02-10-2011,05-10-2011,89,Valid Date,First Class,ES-14080,Erin Smith,Corporate,United States,Tempe,Arizona,85281,West,TEC-AC-10003038,Technology,Accessories,Kingston Digital DataTraveler 16GB USB 2.0,$7.16,1,20.00%,-$0.09,-1.25%,$7.16,-$0.09,West Arizona,Accessories - (Technology)
1497,CA-2014-152485,05-09-2014,09-09-2014,123,Valid Date,Standard Class,JD-15790,John Dryer,Consumer,United States,Coppell,Texas,75019,Central,OFF-ST-10004950,Office Supplies,Storage,Acco Perma 3000 Stacking Storage Drawers,$16.78,1,20.00%,-$0.21,-1.25%,$16.78,-$0.21,Central Texas,Storage - (Office Supplies)
1567,CA-2012-129112,11-29-2012,11-30-2012,1,Valid Date,First Class,AW-10840,Anthony Witt,Consumer,United States,Allen,Texas,75002,Central,TEC-AC-10003038,Technology,Accessories,Kingston Digital DataTraveler 16GB USB 2.0,$21.48,3,20.00%,-$0.27,-1.25%,$7.16,-$0.09,Central Texas,Accessories - (Technology)
7414,CA-2014-121125,05-31-2014,04-06-2014,-55,Invalid Date,Standard Class,MG-17890,Michael Granlund,Home Office,United States,Tigard,Oregon,97224,West,FUR-FU-10000820,Furniture,Furnishings,Tensor Brushed Steel Torchiere Floor Lamp,$13.59,1,20.00%,-$0.34,-2.50%,$13.59,-$0.34,West Oregon,Furnishings - (Furniture)
4661,CA-2012-112130,03-05-2012,07-05-2012,122,Valid Date,Standard Class,SV-20785,Stewart Visinsky,Consumer,United States,Philadelphia,Pennsylvania,19140,East,TEC-AC-10001542,Technology,Accessories,SanDisk Cruzer 16 GB USB Flash Drive,$27.55,3,20.00%,-$0.34,-1.25%,$9.18,-$0.11,East Pennsylvania,Accessories - (Technology)
1069,US-2014-139955,09-29-2014,01-10-2014,-262,Invalid Date,Second Class,CM-12160,Charles McCrossin,Consumer,United States,Brownsville,Texas,78521,Central,OFF-SU-10001935,Office Supplies,Supplies,Staples,$1.74,1,20.00%,-$0.35,-20.00%,$1.74,-$0.35,Central Texas,Supplies - (Office Supplies)
3139,CA-2014-164168,11-13-2014,11-19-2014,6,Valid Date,Standard Class,LS-16975,Lindsay Shagiari,Home Office,United States,Dallas,Texas,75081,Central,TEC-AC-10004568,Technology,Accessories,Maxell LTO Ultrium - 800 GB,$44.78,2,20.00%,-$0.56,-1.25%,$22.39,-$0.28,Central Texas,Accessories - (Technology)
4712,CA-2011-112403,03-31-2011,03-31-2011,0,Valid Date,Same Day,JO-15280,Jas O'Carroll,Consumer,United States,Philadelphia,Pennsylvania,19120,East,OFF-BI-10003529,Office Supplies,Binders,Avery Round Ring Poly Binders,$0.85,1,70.00%,-$0.60,-70.00%,$0.85,-$0.60,East Pennsylvania,Binders - (Office Supplies)
6085,US-2013-132577,11-23-2013,11-28-2013,5,Valid Date,Standard Class,JE-15475,Jeremy Ellison,Consumer,United States,Houston,Texas,77095,Central,TEC-AC-10000387,Technology,Accessories,KeyTronic KT800P2 - Keyboard - Black,$24.03,2,20.00%,-$0.60,-2.50%,$12.02,-$0.30,Central Texas,Accessories - (Technology)
5092,CA-2014-156720,12-31-2014,04-01-2015,91,Valid Date,Standard Class,JM-15580,Jill Matthias,Consumer,United States,Loveland,Colorado,80538,West,OFF-FA-10003472,Office Supplies,Fasteners,Bagged Rubber Bands,$3.02,3,20.00%,-$0.60,-20.00%,$1.01,-$0.20,West Colorado,Fasteners - (Office Supplies)
2770,US-2012-122140,02-04-2012,07-04-2012,151,Valid Date,Standard Class,MO-17950,Michael Oakman,Consumer,United States,Dallas,Texas,75220,Central,TEC-AC-10003038,Technology,Accessories,Kingston Digital DataTraveler 16GB USB 2.0,$50.12,7,20.00%,-$0.63,-1.25%,$7.16,-$0.09,Central Texas,Accessories - (Technology)
8882,CA-2013-135594,01-07-2013,04-07-2013,90,Valid Date,Second Class,AH-10120,Adrian Hane,Home Office,United States,Aurora,Illinois,60505,Central,TEC-AC-10003038,Technology,Accessories,Kingston Digital DataTraveler 16GB USB 2.0,$50.12,7,20.00%,-$0.63,-1.25%,$7.16,-$0.09,Central Illinois,Accessories - (Technology)
1331,CA-2014-127705,03-06-2014,07-06-2014,122,Valid Date,Standard Class,AB-10255,Alejandro Ballentine,Home Office,United States,Lorain,Ohio,44052,East,TEC-PH-10000347,Technology,Phones,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,$2.97,1,40.00%,-$0.64,-21.67%,$2.97,-$0.64,East Ohio,Phones - (Technology)
3947,CA-2014-167871,11-19-2014,11-24-2014,5,Valid Date,Standard Class,AF-10870,Art Ferguson,Consumer,United States,Homestead,Florida,33030,South,OFF-SU-10001225,Office Supplies,Supplies,Staples,$2.94,1,20.00%,-$0.66,-22.50%,$2.94,-$0.66,South Florida,Supplies - (Office Supplies)
9188,US-2012-130512,08-21-2012,08-25-2012,4,Valid Date,Standard Class,SM-20320,Sean Miller,Home Office,United States,Allentown,Pennsylvania,18103,East,OFF-SU-10001935,Office Supplies,Supplies,Staples,$3.49,2,20.00%,-$0.70,-20.00%,$1.74,-$0.35,East Pennsylvania,Supplies - (Office Supplies)
1648,CA-2012-105221,01-11-2012,03-11-2012,60,Valid Date,First Class,VM-21685,Valerie Mitchum,Home Office,United States,Philadelphia,Pennsylvania,19140,East,OFF-FA-10001135,Office Supplies,Fasteners,"Brites Rubber Bands, 1 1/2 oz. Box",$3.17,2,20.00%,-$0.71,-22.50%,$1.58,-$0.36,East Pennsylvania,Fasteners - (Office Supplies)
5815,US-2012-106495,06-15-2012,06-17-2012,2,Valid Date,First Class,AC-10450,Amy Cox,Consumer,United States,Tampa,Florida,33614,South,TEC-AC-10002718,Technology,Accessories,Belkin Standard 104 key USB Keyboard,$11.67,1,20.00%,-$0.73,-6.25%,$11.67,-$0.73,South Florida,Accessories - (Technology)
1107,US-2013-110156,11-20-2013,11-25-2013,5,Valid Date,Standard Class,EH-13945,Eric Hoffmann,Consumer,United States,Houston,Texas,77041,Central,FUR-FU-10000206,Furniture,Furnishings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",$2.33,2,60.00%,-$0.76,-32.50%,$1.16,-$0.38,Central Texas,Furnishings - (Furniture)
