Row ID,Order ID,Order Date,Ship Date,Shipping Period,Date Valididty,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit Margin,Price Per Unit,Profit Per Unit,Location,Product Category
235,US-2014-100930,08-04-2014,04-13-2014,-113,Invalid Date,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Tampa,Florida,33614,South,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",$258.07,3,20.00%,$0.00,0.00%,$86.02,$0.00,South Florida,Furnishings - (Furniture)
552,CA-2013-136406,04-16-2013,04-18-2013,2,Valid Date,Second Class,BD-11320,Bill Donatelli,Consumer,United States,San Francisco,California,94110,West,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,"$1,121.57",2,20.00%,$0.00,0.00%,$560.78,$0.00,West California,Chairs - (Furniture)
564,CA-2012-130736,7-12-2012,9-12-2012,62,Valid Date,First Class,JF-15490,Jeremy Farry,Consumer,United States,Seattle,Washington,98105,West,OFF-FA-10003467,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",$3.96,2,0.00%,$0.00,0.00%,$1.98,$0.00,West Washington,Fasteners - (Office Supplies)
570,CA-2014-156951,02-10-2014,09-10-2014,212,Valid Date,Standard Class,EB-13840,Ellis Ballard,Corporate,United States,Seattle,Washington,98105,West,FUR-CH-10004997,Furniture,Chairs,Hon Every-Day Series Multi-Task Chairs,$451.15,3,20.00%,$0.00,0.00%,$150.38,$0.00,West Washington,Chairs - (Furniture)
820,CA-2011-140858,06-28-2011,02-07-2011,-141,Invalid Date,Standard Class,CA-12775,Cynthia Arntzen,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10001394,Furniture,Chairs,Global Leather Executive Chair,"$1,228.47",5,30.00%,$0.00,0.00%,$245.69,$0.00,East Pennsylvania,Chairs - (Furniture)
970,CA-2014-135279,10-04-2014,12-04-2014,61,Valid Date,First Class,BS-11800,Bryan Spruell,Home Office,United States,New York City,New York,10011,East,OFF-ST-10001097,Office Supplies,Storage,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,$501.81,3,0.00%,$0.00,0.00%,$167.27,$0.00,East New York,Storage - (Office Supplies)
1155,CA-2011-136567,12-20-2011,12-21-2011,1,Valid Date,First Class,PS-19045,Penelope Sewall,Home Office,United States,Harrisonburg,Virginia,22801,South,OFF-ST-10004337,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",$122.48,2,0.00%,$0.00,0.00%,$61.24,$0.00,South Virginia,Storage - (Office Supplies)
1169,CA-2014-145226,09-12-2014,11-12-2014,61,Valid Date,Second Class,DL-13315,Delfina Latchford,Consumer,United States,New York City,New York,10035,East,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,$272.94,3,0.00%,$0.00,0.00%,$90.98,$0.00,East New York,Storage - (Office Supplies)
1204,CA-2013-114727,7-19-2013,7-25-2013,6,Valid Date,Standard Class,LS-16945,Linda Southworth,Corporate,United States,Denver,Colorado,80219,West,OFF-ST-10002292,Office Supplies,Storage,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",$593.57,2,20.00%,$0.00,0.00%,$296.78,$0.00,West Colorado,Storage - (Office Supplies)
1237,CA-2013-144344,10-29-2013,10-29-2013,0,Valid Date,Same Day,PG-18820,Patrick Gardner,Consumer,United States,Boynton Beach,Florida,33437,South,FUR-FU-10003268,Furniture,Furnishings,Eldon Radial Chair Mat for Low to Medium Pile Carpets,$63.97,2,20.00%,$0.00,0.00%,$31.98,$0.00,South Florida,Furnishings - (Furniture)
